Highland Tinamou,Nothocercus bonapartei
Black Phoebe,Sayornis nigricans
Eastern Phoebe,Sayornis phoebe
Say's Phoebe,Sayornis saya
Vermilion Flycatcher,Pyrocephalus rubinus
Pied Water-Tyrant,Fluvicola pica
Northern Scrub-Flycatcher,Sublegatus arenarum
Long-tailed Tyrant,Colonia colonus
Brown Shrike,Lanius cristatus
Loggerhead Shrike,Lanius ludovicianus
Northern Shrike,Lanius borealis
Rufous-browed Peppershrike,Cyclarhis gujanensis
Scrub Greenlet,Hylophilus flavipes
Chestnut-sided Shrike-Vireo,Vireolanius melitophrys
Green Shrike-Vireo,Vireolanius pulchellus
Yellow-browed Shrike-Vireo,Vireolanius eximius
Tawny-crowned Greenlet,Tunchiornis ochraceiceps
Lesser Greenlet,Pachysylvia decurtata
Golden-fronted Greenlet,Pachysylvia aurantiifrons
Golden Vireo,Vireo hypochryseus
Blue Mountain Vireo,Vireo osburni
Slaty Vireo,Vireo brevipennis
Black-capped Vireo,Vireo atricapilla
Dwarf Vireo,Vireo nelsoni
White-eyed Vireo,Vireo griseus
Thick-billed Vireo,Vireo crassirostris
Mangrove Vireo,Vireo pallens
Cozumel Vireo,Vireo bairdi
San Andres Vireo,Vireo caribaeus
Jamaican Vireo,Vireo modestus
Cuban Vireo,Vireo gundlachii
Puerto Rican Vireo,Vireo latimeri
Flat-billed Vireo,Vireo nanus
Bell's Vireo,Vireo bellii
Gray Vireo,Vireo vicinior
Hutton's Vireo,Vireo huttoni
Yellow-throated Vireo,Vireo flavifrons
Yellow-winged Vireo,Vireo carmioli
Cassin's Vireo,Vireo cassinii
Blue-headed Vireo,Vireo solitarius
Plumbeous Vireo,Vireo plumbeus
Philadelphia Vireo,Vireo philadelphicus
Warbling Vireo,Vireo gilvus
Brown-capped Vireo,Vireo leucophrys
Red-eyed Vireo,Vireo olivaceus
Yellow-green Vireo,Vireo flavoviridis
Black-whiskered Vireo,Vireo altiloquus
Yucatan Vireo,Vireo magister
Canada Jay,Perisoreus canadensis
White-throated Jay,Cyanolyca mirabilis
Dwarf Jay,Cyanolyca nana
Black-throated Jay,Cyanolyca pumilo
Silvery-throated Jay,Cyanolyca argentigula
Azure-hooded Jay,Cyanolyca cucullata
Black-throated Magpie-Jay,Calocitta colliei
White-throated Magpie-Jay,Calocitta formosa
Brown Jay,Psilorhinus morio
Tufted Jay,Cyanocorax dickeyi
Black-chested Jay,Cyanocorax affinis
Green Jay,Cyanocorax yncas
Bushy-crested Jay,Cyanocorax melanocyaneus
San Blas Jay,Cyanocorax sanblasianus
Yucatan Jay,Cyanocorax yucatanicus
Purplish-backed Jay,Cyanocorax beecheii
Pinyon Jay,Gymnorhinus cyanocephalus
Steller's Jay,Cyanocitta stelleri
Blue Jay,Cyanocitta cristata
Florida Scrub-Jay,Aphelocoma coerulescens
Island Scrub-Jay,Aphelocoma insularis
California Scrub-Jay,Aphelocoma californica
Woodhouse's Scrub-Jay,Aphelocoma woodhouseii
Transvolcanic Jay,Aphelocoma ultramarina
Mexican Jay,Aphelocoma wollweberi
Unicolored Jay,Aphelocoma unicolor
Clark's Nutcracker,Nucifraga columbiana
Black-billed Magpie,Pica hudsonia
Yellow-billed Magpie,Pica nuttalli
Eurasian Jackdaw,Corvus monedula
Rook,Corvus frugilegus
American Crow,Corvus brachyrhynchos
Northwestern Crow,Corvus caurinus
Palm Crow,Corvus palmarum
Cuban Crow,Corvus nasicus
White-necked Crow,Corvus leucognaphalus
Hooded Crow,Corvus cornix
Jamaican Crow,Corvus jamaicensis
Tamaulipas Crow,Corvus imparatus
Sinaloa Crow,Corvus sinaloae
Fish Crow,Corvus ossifragus
Hawaiian Crow,Corvus hawaiiensis
Chihuahuan Raven,Corvus cryptoleucus
Common Raven,Corvus corax
Kauai Elepaio,Chasiempis sclateri
Oahu Elepaio,Chasiempis ibidis
Hawaii Elepaio,Chasiempis sandwichensis
Eurasian Skylark,Alauda arvensis
Horned Lark,Eremophila alpestris
Bank Swallow,Riparia riparia
Tree Swallow,Tachycineta bicolor
Bahama Swallow,Tachycineta cyaneoviridis
Violet-green Swallow,Tachycineta thalassina
Golden Swallow,Tachycineta euchrysea
Mangrove Swallow,Tachycineta albilinea
Black-capped Swallow,Atticora pileata
White-thighed Swallow,Atticora tibialis
Blue-and-white Swallow,Pygochelidon cyanoleuca
Northern Rough-winged Swallow,Stelgidopteryx serripennis
Southern Rough-winged Swallow,Stelgidopteryx ruficollis
Sinaloa Martin,Progne sinaloae
Brown-chested Martin,Progne tapera
Caribbean Martin,Progne dominicensis
Purple Martin,Progne subis
Cuban Martin,Progne cryptoleuca
Gray-breasted Martin,Progne chalybea
Southern Martin,Progne elegans
Barn Swallow,Hirundo rustica
Common House-Martin,Delichon urbicum
Cliff Swallow,Petrochelidon pyrrhonota
Cave Swallow,Petrochelidon fulva
Carolina Chickadee,Poecile carolinensis
Black-capped Chickadee,Poecile atricapillus
Mountain Chickadee,Poecile gambeli
Mexican Chickadee,Poecile sclateri
Chestnut-backed Chickadee,Poecile rufescens
Boreal Chickadee,Poecile hudsonicus
Gray-headed Chickadee,Poecile cinctus
Bridled Titmouse,Baeolophus wollweberi
Oak Titmouse,Baeolophus inornatus
Juniper Titmouse,Baeolophus ridgwayi
Tufted Titmouse,Baeolophus bicolor
Black-crested Titmouse,Baeolophus atricristatus
Verdin,Auriparus flaviceps
Bushtit,Psaltriparus minimus
Red-breasted Nuthatch,Sitta canadensis
White-breasted Nuthatch,Sitta carolinensis
Pygmy Nuthatch,Sitta pygmaea
Brown-headed Nuthatch,Sitta pusilla
Brown Creeper,Certhia americana
Rock Wren,Salpinctes obsoletus
Nightingale Wren,Microcerculus philomela
Scaly-breasted Wren,Microcerculus marginatus
Canyon Wren,Catherpes mexicanus
Sumichrast's Wren,Hylorchilus sumichrasti
Nava's Wren,Hylorchilus navai
Zapata Wren,Ferminia cerverai
House Wren,Troglodytes aedon
Socorro Wren,Troglodytes sissonii
Clarion Wren,Troglodytes tanneri
Rufous-browed Wren,Troglodytes rufociliatus
Ochraceous Wren,Troglodytes ochraceus
Pacific Wren,Troglodytes pacificus
Winter Wren,Troglodytes hiemalis
Timberline Wren,Thryorchilus browni
Sedge Wren,Cistothorus platensis
Marsh Wren,Cistothorus palustris
Carolina Wren,Thryothorus ludovicianus
Bewick's Wren,Thryomanes bewickii
White-headed Wren,Campylorhynchus albobrunneus
Band-backed Wren,Campylorhynchus zonatus
Gray-barred Wren,Campylorhynchus megalopterus
Giant Wren,Campylorhynchus chiapensis
Bicolored Wren,Campylorhynchus griseus
Rufous-naped Wren,Campylorhynchus rufinucha
Spotted Wren,Campylorhynchus gularis
Boucard's Wren,Campylorhynchus jocosus
Yucatan Wren,Campylorhynchus yucatanicus
Cactus Wren,Campylorhynchus brunneicapillus
Sooty-headed Wren,Pheugopedius spadix
Black-throated Wren,Pheugopedius atrogularis
Rufous-breasted Wren,Pheugopedius rutilus
Spot-breasted Wren,Pheugopedius maculipectus
Happy Wren,Pheugopedius felix
Black-bellied Wren,Pheugopedius fasciatoventris
Rufous-and-white Wren,Thryophilus rufalbus
Sinaloa Wren,Thryophilus sinaloa
Banded Wren,Thryophilus pleurostictus
Stripe-throated Wren,Cantorchilus leucopogon
Stripe-breasted Wren,Cantorchilus thoracicus
Cabanis's Wren,Cantorchilus modestus
Canebrake Wren,Cantorchilus zeledoni
Isthmian Wren,Cantorchilus elutus
Bay Wren,Cantorchilus nigricapillus
Riverside Wren,Cantorchilus semibadius
Buff-breasted Wren,Cantorchilus leucotis
White-bellied Wren,Uropsila leucogastra
White-breasted Wood-Wren,Henicorhina leucosticta
Gray-breasted Wood-Wren,Henicorhina leucophrys
Song Wren,Cyphorhinus phaeocephalus
Tawny-faced Gnatwren,Microbates cinereiventris
Long-billed Gnatwren,Ramphocaenus melanurus
Blue-gray Gnatcatcher,Polioptila caerulea
Cuban Gnatcatcher,Polioptila lembeyei
California Gnatcatcher,Polioptila californica
Black-tailed Gnatcatcher,Polioptila melanura
Black-capped Gnatcatcher,Polioptila nigriceps
White-lored Gnatcatcher,Polioptila albiloris
Yucatan Gnatcatcher,Polioptila albiventris
Tropical Gnatcatcher,Polioptila plumbea
Slate-throated Gnatcatcher,Polioptila schistaceigula
American Dipper,Cinclus mexicanus
Red-vented Bulbul,Pycnonotus cafer
Red-whiskered Bulbul,Pycnonotus jocosus
Golden-crowned Kinglet,Regulus satrapa
Ruby-crowned Kinglet,Regulus calendula
Japanese Bush-Warbler,Horornis diphone
Willow Warbler,Phylloscopus trochilus
Common Chiffchaff,Phylloscopus collybita
Wood Warbler,Phylloscopus sibilatrix
Dusky Warbler,Phylloscopus fuscatus
Pallas's Leaf Warbler,Phylloscopus proregulus
Yellow-browed Warbler,Phylloscopus inornatus
Arctic Warbler,Phylloscopus borealis
Kamchatka Leaf Warbler,Phylloscopus examinandus
Eurasian Blackcap,Sylvia atricapilla
Lesser Whitethroat,Sylvia curruca
Wrentit,Chamaea fasciata
Japanese White-eye,Zosterops japonicus
Greater Necklaced Laughingthrush,Garrulax pectoralis
Hwamei,Garrulax canorus
Red-billed Leiothrix,Leiothrix lutea
Thick-billed Warbler,Arundinax aedon
Millerbird,Acrocephalus familiaris
Sedge Warbler,Acrocephalus schoenobaenus
Blyth's Reed Warbler,Acrocephalus dumetorum
Black-capped Donacobius,Donacobius atricapilla
Middendorff's Grasshopper-Warbler,Locustella ochotensis
River Warbler,Locustella fluviatilis
Lanceolated Warbler,Locustella lanceolata
Gray-streaked Flycatcher,Muscicapa griseisticta
Asian Brown Flycatcher,Muscicapa dauurica
Spotted Flycatcher,Muscicapa striata
Dark-sided Flycatcher,Muscicapa sibirica
White-rumped Shama,Copsychus malabaricus
European Robin,Erithacus rubecula
Siberian Blue Robin,Larvivora cyane
Rufous-tailed Robin,Larvivora sibilans
Bluethroat,Cyanecula svecica
Siberian Rubythroat,Calliope calliope
Red-flanked Bluetail,Tarsiger cyanurus
Narcissus Flycatcher,Ficedula narcissina
Mugimaki Flycatcher,Ficedula mugimaki
Taiga Flycatcher,Ficedula albicilla
Common Redstart,Phoenicurus phoenicurus
Stonechat,Saxicola torquatus
Northern Wheatear,Oenanthe oenanthe
Pied Wheatear,Oenanthe pleschanka
Eastern Bluebird,Sialia sialis
Western Bluebird,Sialia mexicana
Mountain Bluebird,Sialia currucoides
Townsend's Solitaire,Myadestes townsendi
Brown-backed Solitaire,Myadestes occidentalis
Cuban Solitaire,Myadestes elisabeth
Rufous-throated Solitaire,Myadestes genibarbis
Black-faced Solitaire,Myadestes melanops
Varied Solitaire,Myadestes coloratus
Slate-colored Solitaire,Myadestes unicolor
Kamao,Myadestes myadestinus
Amaui,Myadestes woahensis
Olomao,Myadestes lanaiensis
Omao,Myadestes obscurus
Puaiohi,Myadestes palmeri
White's Thrush,Zoothera aurea
Black-billed Nightingale-Thrush,Catharus gracilirostris
Orange-billed Nightingale-Thrush,Catharus aurantiirostris
Slaty-backed Nightingale-Thrush,Catharus fuscater
Russet Nightingale-Thrush,Catharus occidentalis
Ruddy-capped Nightingale-Thrush,Catharus frantzii
Black-headed Nightingale-Thrush,Catharus mexicanus
Spotted Nightingale-Thrush,Catharus dryas
Veery,Catharus fuscescens
Gray-cheeked Thrush,Catharus minimus
Bicknell's Thrush,Catharus bicknelli
Swainson's Thrush,Catharus ustulatus
Hermit Thrush,Catharus guttatus
Wood Thrush,Hylocichla mustelina
Mistle Thrush,Turdus viscivorus
Eurasian Blackbird,Turdus merula
Eyebrowed Thrush,Turdus obscurus
Dusky Thrush,Turdus naumanni
Fieldfare,Turdus pilaris
Redwing,Turdus iliacus
Song Thrush,Turdus philomelos
Sooty Thrush,Turdus nigrescens
Black Thrush,Turdus infuscatus
Mountain Thrush,Turdus plebejus
Cocoa Thrush,Turdus fumigatus
Pale-vented Thrush,Turdus obsoletus
Clay-colored Thrush,Turdus grayi
Spectacled Thrush,Turdus nudigenis
White-eyed Thrush,Turdus jamaicensis
White-throated Thrush,Turdus assimilis
Rufous-backed Robin,Turdus rufopalliatus
Rufous-collared Robin,Turdus rufitorques
American Robin,Turdus migratorius
La Selle Thrush,Turdus swalesi
White-chinned Thrush,Turdus aurantius
Grand Cayman Thrush,Turdus ravidus
Red-legged Thrush,Turdus plumbeus
Forest Thrush,Turdus lherminieri
Varied Thrush,Ixoreus naevius
Aztec Thrush,Ridgwayia pinicola
Blue Mockingbird,Melanotis caerulescens
Blue-and-white Mockingbird,Melanotis hypoleucus
Black Catbird,Melanoptila glabrirostris
Gray Catbird,Dumetella carolinensis
White-breasted Thrasher,Ramphocinclus brachyurus
Scaly-breasted Thrasher,Allenia fusca
Pearly-eyed Thrasher,Margarops fuscatus
Brown Trembler,Cinclocerthia ruficauda
Gray Trembler,Cinclocerthia gutturalis
Curve-billed Thrasher,Toxostoma curvirostre
Ocellated Thrasher,Toxostoma ocellatum
Brown Thrasher,Toxostoma rufum
Long-billed Thrasher,Toxostoma longirostre
Cozumel Thrasher,Toxostoma guttatum
Bendire's Thrasher,Toxostoma bendirei
Gray Thrasher,Toxostoma cinereum
California Thrasher,Toxostoma redivivum
LeConte's Thrasher,Toxostoma lecontei
Crissal Thrasher,Toxostoma crissale
Sage Thrasher,Oreoscoptes montanus
Bahama Mockingbird,Mimus gundlachii
Socorro Mockingbird,Mimus graysoni
Tropical Mockingbird,Mimus gilvus
Northern Mockingbird,Mimus polyglottos
European Starling,Sturnus vulgaris
Common Myna,Acridotheres tristis
Bohemian Waxwing,Bombycilla garrulus
Cedar Waxwing,Bombycilla cedrorum
Kauai Oo,Moho braccatus
Oahu Oo,Moho apicalis
Bishop's Oo,Moho bishopi
Hawaii Oo,Moho nobilis
Kioea,Chaetoptila angustipluma
Black-and-yellow Silky-flycatcher,Phainoptila melanoxantha
Gray Silky-flycatcher,Ptiliogonys cinereus
Long-tailed Silky-flycatcher,Ptiliogonys caudatus
Phainopepla,Phainopepla nitens
Palmchat,Dulus dominicus
Olive Warbler,Peucedramus taeniatus
Siberian Accentor,Prunella montanella
Village Weaver,Ploceus cucullatus
Northern Red Bishop,Euplectes franciscanus
Yellow-crowned Bishop,Euplectes afer
Pin-tailed Whydah,Vidua macroura
Red-cheeked Cordonbleu,Uraeginthus bengalus
Lavender Waxbill,Estrilda caerulescens
Orange-cheeked Waxbill,Estrilda melpoda
Black-rumped Waxbill,Estrilda troglodytes
Common Waxbill,Estrilda astrild
Red Avadavat,Amandava amandava
Bronze Mannikin,Spermestes cucullata
Indian Silverbill,Euodice malabarica
African Silverbill,Euodice cantans
Java Sparrow,Lonchura oryzivora
Scaly-breasted Munia,Lonchura punctulata
Tricolored Munia,Lonchura malacca
Chestnut Munia,Lonchura atricapilla
House Sparrow,Passer domesticus
Eurasian Tree Sparrow,Passer montanus
Eastern Yellow Wagtail,Motacilla tschutschensis
Citrine Wagtail,Motacilla citreola
Gray Wagtail,Motacilla cinerea
White Wagtail,Motacilla alba
Tree Pipit,Anthus trivialis
Olive-backed Pipit,Anthus hodgsoni
Pechora Pipit,Anthus gustavi
Red-throated Pipit,Anthus cervinus
American Pipit,Anthus rubescens
Meadow Pipit,Anthus pratensis
Sprague's Pipit,Anthus spragueii
Yellowish Pipit,Anthus lutescens
Common Chaffinch,Fringilla coelebs
Brambling,Fringilla montifringilla
Yellow-collared Chlorophonia,Chlorophonia flavirostris
Blue-crowned Chlorophonia,Chlorophonia occipitalis
Golden-browed Chlorophonia,Chlorophonia callophrys
Jamaican Euphonia,Euphonia jamaica
Scrub Euphonia,Euphonia affinis
Yellow-crowned Euphonia,Euphonia luteicapilla
Thick-billed Euphonia,Euphonia laniirostris
Yellow-throated Euphonia,Euphonia hirundinacea
Antillean Euphonia,Euphonia musica
Elegant Euphonia,Euphonia elegantissima
Fulvous-vented Euphonia,Euphonia fulvicrissa
Spot-crowned Euphonia,Euphonia imitans
Olive-backed Euphonia,Euphonia gouldi
White-vented Euphonia,Euphonia minuta
Tawny-capped Euphonia,Euphonia anneae
Orange-bellied Euphonia,Euphonia xanthogaster
Hooded Grosbeak,Coccothraustes abeillei
Evening Grosbeak,Coccothraustes vespertinus
Hawfinch,Coccothraustes coccothraustes
Common Rosefinch,Carpodacus erythrinus
Pallas's Rosefinch,Carpodacus roseus
Poo-uli,Melamprosops phaeosoma
Akikiki,Oreomystis bairdi
Oahu Alauahio,Paroreomyza maculata
Kakawahie,Paroreomyza flammea
Maui Alauahio,Paroreomyza montana
Palila,Loxioides bailleui
Laysan Finch,Telespiza cantans
Nihoa Finch,Telespiza ultima
Kona Grosbeak,Chloridops kona
Lesser Koa-Finch,Rhodacanthis flaviceps
Greater Koa-Finch,Rhodacanthis palmeri
Ula-ai-hawane,Ciridops anna
Akohekohe,Palmeria dolei
Laysan Honeycreeper,Himatione fraithii
Apapane,Himatione sanguinea
Iiwi,Drepanis coccinea
Hawaii Mamo,Drepanis pacifica
Black Mamo,Drepanis funerea
Ou,Psittirostra psittacea
Lanai Hookbill,Dysmorodrepanis munroi
Maui Parrotbill,Pseudonestor xanthophrys
Kauai Nukupuu,Hemignathus hanapepe
Oahu Nukupuu,Hemignathus lucidus
Maui Nukupuu,Hemignathus affinis
Akiapolaau,Hemignathus wilsoni
Lesser Akialoa,Akialoa obscura
Kauai Akialoa,Akialoa stejnegeri
Oahu Akialoa,Akialoa ellisiana
Maui-nui Akialoa,Akialoa lanaiensis
Anianiau,Magumma parva
Hawaii Amakihi,Chlorodrepanis virens
Oahu Amakihi,Chlorodrepanis flava
Kauai Amakihi,Chlorodrepanis stejnegeri
Greater Amakihi,Viridonia sagittirostris
Hawaii Creeper,Loxops mana
Akekee,Loxops caeruleirostris
Oahu Akepa,Loxops wolstenholmei
Maui Akepa,Loxops ochraceus
Hawaii Akepa,Loxops coccineus
Pine Grosbeak,Pinicola enucleator
Eurasian Bullfinch,Pyrrhula pyrrhula
Asian Rosy-Finch,Leucosticte arctoa
Gray-crowned Rosy-Finch,Leucosticte tephrocotis
Black Rosy-Finch,Leucosticte atrata
Brown-capped Rosy-Finch,Leucosticte australis
House Finch,Haemorhous mexicanus
Purple Finch,Haemorhous purpureus
Cassin's Finch,Haemorhous cassinii
Oriental Greenfinch,Chloris sinica
Yellow-fronted Canary,Crithagra mozambica
Common Redpoll,Acanthis flammea
Lesser Redpoll,Acanthis cabaret
Hoary Redpoll,Acanthis hornemanni
Red Crossbill,Loxia curvirostra
Cassia Crossbill,Loxia sinesciuris
Hispaniolan Crossbill,Loxia megaplaga
White-winged Crossbill,Loxia leucoptera
European Goldfinch,Carduelis carduelis
Eurasian Siskin,Spinus spinus
Pine Siskin,Spinus pinus
Black-capped Siskin,Spinus atriceps
Black-headed Siskin,Spinus notatus
Yellow-bellied Siskin,Spinus xanthogastrus
Red Siskin,Spinus cucullatus
Antillean Siskin,Spinus dominicensis
Lesser Goldfinch,Spinus psaltria
Lawrence's Goldfinch,Spinus lawrencei
American Goldfinch,Spinus tristis
Island Canary,Serinus canaria
Lapland Longspur,Calcarius lapponicus
Chestnut-collared Longspur,Calcarius ornatus
Smith's Longspur,Calcarius pictus
McCown's Longspur,Rhynchophanes mccownii
Snow Bunting,Plectrophenax nivalis
McKay's Bunting,Plectrophenax hyperboreus
Rosy Thrush-Tanager,Rhodinocichla rosea
Pine Bunting,Emberiza leucocephalos
Yellow-browed Bunting,Emberiza chrysophrys
Little Bunting,Emberiza pusilla
Rustic Bunting,Emberiza rustica
Yellow-throated Bunting,Emberiza elegans
Yellow-breasted Bunting,Emberiza aureola
Gray Bunting,Emberiza variabilis
Pallas's Bunting,Emberiza pallasi
Reed Bunting,Emberiza schoeniclus
Yellow-throated Chlorospingus,Chlorospingus flavigularis
Ashy-throated Chlorospingus,Chlorospingus canigularis
Sooty-capped Chlorospingus,Chlorospingus pileatus
Common Chlorospingus,Chlorospingus flavopectus
Tacarcuna Chlorospingus,Chlorospingus tacarcunae
Pirre Chlorospingus,Chlorospingus inornatus
Rufous-winged Sparrow,Peucaea carpalis
Cinnamon-tailed Sparrow,Peucaea sumichrasti
Stripe-headed Sparrow,Peucaea ruficauda
Black-chested Sparrow,Peucaea humeralis
Bridled Sparrow,Peucaea mystacalis
Botteri's Sparrow,Peucaea botterii
Cassin's Sparrow,Peucaea cassinii
Bachman's Sparrow,Peucaea aestivalis
Grasshopper Sparrow,Ammodramus savannarum
Olive Sparrow,Arremonops rufivirgatus
Green-backed Sparrow,Arremonops chloronotus
Black-striped Sparrow,Arremonops conirostris
Five-striped Sparrow,Amphispiza quinquestriata
Black-throated Sparrow,Amphispiza bilineata
Lark Sparrow,Chondestes grammacus
Lark Bunting,Calamospiza melanocorys
Chipping Sparrow,Spizella passerina
Clay-colored Sparrow,Spizella pallida
Black-chinned Sparrow,Spizella atrogularis
Field Sparrow,Spizella pusilla
Brewer's Sparrow,Spizella breweri
Worthen's Sparrow,Spizella wortheni
Costa Rican Brushfinch,Arremon costaricensis
Black-headed Brushfinch,Arremon atricapillus
Orange-billed Sparrow,Arremon aurantiirostris
Green-striped Brushfinch,Arremon virenticeps
Chestnut-capped Brushfinch,Arremon brunneinucha
Sooty-faced Finch,Arremon crassirostris
Fox Sparrow,Passerella iliaca
American Tree Sparrow,Spizelloides arborea
Volcano Junco,Junco vulcani
Guadalupe Junco,Junco insularis
Dark-eyed Junco,Junco hyemalis
Yellow-eyed Junco,Junco phaeonotus
Baird's Junco,Junco bairdi
Rufous-collared Sparrow,Zonotrichia capensis
White-crowned Sparrow,Zonotrichia leucophrys
Golden-crowned Sparrow,Zonotrichia atricapilla
Harris's Sparrow,Zonotrichia querula
White-throated Sparrow,Zonotrichia albicollis
Sagebrush Sparrow,Artemisiospiza nevadensis
Bell's Sparrow,Artemisiospiza belli
Striped Sparrow,Oriturus superciliosus
Vesper Sparrow,Pooecetes gramineus
LeConte's Sparrow,Ammospiza leconteii
Seaside Sparrow,Ammospiza maritima
Nelson's Sparrow,Ammospiza nelsoni
Saltmarsh Sparrow,Ammospiza caudacuta
Baird's Sparrow,Centronyx bairdii
Henslow's Sparrow,Centronyx henslowii
Savannah Sparrow,Passerculus sandwichensis
Sierra Madre Sparrow,Xenospiza baileyi
Song Sparrow,Melospiza melodia
Lincoln's Sparrow,Melospiza lincolnii
Swamp Sparrow,Melospiza georgiana
Large-footed Finch,Pezopetes capitalis
Zapata Sparrow,Torreornis inexpectata
Rusty-crowned Ground-Sparrow,Melozone kieneri
Canyon Towhee,Melozone fusca
White-throated Towhee,Melozone albicollis
Abert's Towhee,Melozone aberti
California Towhee,Melozone crissalis
White-eared Ground-Sparrow,Melozone leucotis
White-faced Ground-Sparrow,Melozone biarcuata
Cabanis's Ground-Sparrow,Melozone cabanisi
Rusty Sparrow,Aimophila rufescens
Rufous-crowned Sparrow,Aimophila ruficeps
Oaxaca Sparrow,Aimophila notosticta
Green-tailed Towhee,Pipilo chlorurus
Spotted Towhee,Pipilo maculatus
Eastern Towhee,Pipilo erythrophthalmus
Collared Towhee,Pipilo ocai
Rufous-capped Brushfinch,Atlapetes pileatus
White-naped Brushfinch,Atlapetes albinucha
Yellow-thighed Brushfinch,Atlapetes tibialis
Yellow-green Brushfinch,Atlapetes luteoviridis
Western Chat-Tanager,Calyptophilus tertius
Eastern Chat-Tanager,Calyptophilus frugivorus
Black-crowned Palm-Tanager,Phaenicophilus palmarum
Gray-crowned Palm-Tanager,Phaenicophilus poliocephalus
White-winged Warbler,Xenoligea montana
Green-tailed Warbler,Microligea palustris
Puerto Rican Tanager,Nesospingus speculiferus
Western Spindalis,Spindalis zena
Jamaican Spindalis,Spindalis nigricephala
Hispaniolan Spindalis,Spindalis dominicensis
Puerto Rican Spindalis,Spindalis portoricensis
Wrenthrush,Zeledonia coronata
Yellow-headed Warbler,Teretistris fernandinae
Oriente Warbler,Teretistris fornsi
Yellow-breasted Chat,Icteria virens
Yellow-headed Blackbird,Xanthocephalus xanthocephalus
Bobolink,Dolichonyx oryzivorus
Eastern Meadowlark,Sturnella magna
Western Meadowlark,Sturnella neglecta
Red-breasted Meadowlark,Leistes militaris
Yellow-billed Cacique,Amblycercus holosericeus
Yellow-winged Cacique,Cassiculus melanicterus
Crested Oropendola,Psarocolius decumanus
Chestnut-headed Oropendola,Psarocolius wagleri
Montezuma Oropendola,Psarocolius montezuma
Black Oropendola,Psarocolius guatimozinus
Scarlet-rumped Cacique,Cacicus uropygialis
Yellow-rumped Cacique,Cacicus cela
Bahama Oriole,Icterus northropi
Cuban Oriole,Icterus melanopsis
Hispaniolan Oriole,Icterus dominicensis
Puerto Rican Oriole,Icterus portoricensis
St. Lucia Oriole,Icterus laudabilis
Montserrat Oriole,Icterus oberi
Martinique Oriole,Icterus bonana
Black-vented Oriole,Icterus wagleri
Bar-winged Oriole,Icterus maculialatus
Black-cowled Oriole,Icterus prosthemelas
Orchard Oriole,Icterus spurius
Hooded Oriole,Icterus cucullatus
Yellow-backed Oriole,Icterus chrysater
Orange-crowned Oriole,Icterus auricapillus
Yellow-tailed Oriole,Icterus mesomelas
Venezuelan Troupial,Icterus icterus
Streak-backed Oriole,Icterus pustulatus
Bullock's Oriole,Icterus bullockii
Orange Oriole,Icterus auratus
Jamaican Oriole,Icterus leucopteryx
Spot-breasted Oriole,Icterus pectoralis
Altamira Oriole,Icterus gularis
Audubon's Oriole,Icterus graduacauda
Baltimore Oriole,Icterus galbula
Black-backed Oriole,Icterus abeillei
Scott's Oriole,Icterus parisorum
Jamaican Blackbird,Nesopsar nigerrimus
Red-winged Blackbird,Agelaius phoeniceus
Red-shouldered Blackbird,Agelaius assimilis
Tricolored Blackbird,Agelaius tricolor
Tawny-shouldered Blackbird,Agelaius humeralis
Yellow-shouldered Blackbird,Agelaius xanthomus
Shiny Cowbird,Molothrus bonariensis
Bronzed Cowbird,Molothrus aeneus
Brown-headed Cowbird,Molothrus ater
Giant Cowbird,Molothrus oryzivorus
Melodious Blackbird,Dives dives
Cuban Blackbird,Ptiloxena atroviolacea
Rusty Blackbird,Euphagus carolinus
Brewer's Blackbird,Euphagus cyanocephalus
Common Grackle,Quiscalus quiscula
Boat-tailed Grackle,Quiscalus major
Great-tailed Grackle,Quiscalus mexicanus
Slender-billed Grackle,Quiscalus palustris
Nicaraguan Grackle,Quiscalus nicaraguensis
Greater Antillean Grackle,Quiscalus niger
Carib Grackle,Quiscalus lugubris
Yellow-hooded Blackbird,Chrysomus icterocephalus
Ovenbird,Seiurus aurocapilla
Worm-eating Warbler,Helmitheros vermivorum
Louisiana Waterthrush,Parkesia motacilla
Northern Waterthrush,Parkesia noveboracensis
Bachman's Warbler,Vermivora bachmanii
Golden-winged Warbler,Vermivora chrysoptera
Blue-winged Warbler,Vermivora cyanoptera
Black-and-white Warbler,Mniotilta varia
Prothonotary Warbler,Protonotaria citrea
Swainson's Warbler,Limnothlypis swainsonii
Crescent-chested Warbler,Oreothlypis superciliosa
Flame-throated Warbler,Oreothlypis gutturalis
Tennessee Warbler,Leiothlypis peregrina
Orange-crowned Warbler,Leiothlypis celata
Colima Warbler,Leiothlypis crissalis
Lucy's Warbler,Leiothlypis luciae
Nashville Warbler,Leiothlypis ruficapilla
Virginia's Warbler,Leiothlypis virginiae
Semper's Warbler,Leucopeza semperi
Connecticut Warbler,Oporornis agilis
Gray-crowned Yellowthroat,Geothlypis poliocephala
MacGillivray's Warbler,Geothlypis tolmiei
Mourning Warbler,Geothlypis philadelphia
Kentucky Warbler,Geothlypis formosa
Olive-crowned Yellowthroat,Geothlypis semiflava
Black-polled Yellowthroat,Geothlypis speciosa
Belding's Yellowthroat,Geothlypis beldingi
Bahama Yellowthroat,Geothlypis rostrata
Altamira Yellowthroat,Geothlypis flavovelata
Common Yellowthroat,Geothlypis trichas
Hooded Yellowthroat,Geothlypis nelsoni
